question,choices,correct_answer,unsure_option,sources,ideal,distractors
Acinetobacter lwoffii has been evolved in the lab to be resistant to which of these antibiotics?,(A) gentamicin|(B) ampicillin|(C) meropenem|(D) Insufficient information to answer the question|(E) ciproflaxin,E,D,https://doi.org/10.1128/msphere.00109-24,ciproflaxin,meropenem|gentamicin|ampicillin
Active olfactory receptor genes increase their contacts with greek island regions by what factor in mouse olfactory neurons?,(A) 27 fold|(B) 3.0 fold|(C) 2.0 fold|(D) Insufficient information to answer the question|(E) 1.7 fold|(F) 2.7 fold,F,D,https://doi.org/10.1038/s41586-023-06845-4,2.7 fold,1.7 fold|27 fold|3.0 fold|2.0 fold
"Among Cas9-disrupted loci in human neural stem cells, what fraction of disruption phenotypes were apparent after 4 cell divisions?",(A) 31% of enhancer loci|(B) 31% of gene loci|(C) 61% conserved region loci|(D) Insufficient information to answer the question|(E) 61% of enhancer loci|(F) 61% of gene loci|(G) 31% conserved region loci,F,D,https://doi.org/10.1016/j.celrep.2024.113693,61% of gene loci,61% of enhancer loci|31% of gene loci|31% of enhancer loci|61% conserved region loci|31% conserved region loci
Approximately how many unique transposable element insertion loci are there in the mandarin (Citrus reticulata) genome?,"(A) 4|(B) 400|(C) Insufficient information to answer the question|(D) 39|(E) 2|(F) 850|(G) 12,300|(H) 2|(I) 750|(J) 900",G,C,https://doi.org/10.1101/2022.03.19.484946,"12,300",4|900|39|400|2|750|2|850
Approximately what percentage of Drosophila with a H3.3K36R mutation finish developing and enclose?,(A) Insufficient information to answer the question|(B) 6%|(C) 80%|(D) 94%|(E) 19%|(F) 37%|(G) 50%,C,A,https://doi.org/10.1101/2024.05.03.592390,80%,19%|50%|37%|6%|94%
"Approximately what percentage of adr-1(-), adr-2(-), and adr-1(-);adr-2(-) mutant C. elegans will die after exposure to 36ºC for 6 hours, where survival is assessed after 14h of recovery at 20ºC?",(A) Insufficient information to answer the question|(B) 60%|(C) 70%|(D) 10%|(E) 80%|(F) 40%|(G) 50%|(H) 30%|(I) 20%,D,A,https://doi.org/10.1186/s12915-024-01840-1,10%,20%|30%|40%|50%|60%|70%|80%
"Are enhancer and promoter sequences broadly compatible in human cells, and is this the same as in drosophila?","(A) no, yes|(B) no, no|(C) yes, yes|(D) Insufficient information to answer the question|(E) yes, no",E,D,https://doi.org/10.1038/s41586-022-04877-w,"yes, no","yes, yes|no, yes|no, no"
At which amino acid position is a large oligosaccharide density observed in the cryo-EM map of Nav1.6?,(A) Insufficient information to answer the question|(B) Leu288|(C) Trp324|(D) Phe302|(E) Asn326,E,A,https://doi.org/10.1073/pnas.2220578120,Asn326,Leu288|Phe302|Trp324
"Based on experiments done in cohorts of mice injected with B16-F10 melanoma cells expressing ovalbumin, at what time of day is the number of tumor-infiltrating leukocytes the highest?",(A) morning|(B) Insufficient information to answer the question|(C) dawn|(D) evening|(E) middle of the night,D,B,https://doi.org/10.1016/j.cell.2024.04.015,evening,morning|dawn|middle of the night
"Based on single-nuclei RNA sequencing data, myotendinous junction myonuclei are enriched for genes involved in which of the following functions?",(A) cell–matrix interactions|(B) protein synthesis|(C) synaptic transmission|(D) Insufficient information to answer the question|(E) signal transduction,A,D,https://doi.org/10.1038/s41586-024-07348-6,cell–matrix interactions,synaptic transmission|signal transduction|protein synthesis
"Based on the single-cell transcriptome analysis highlighting fatty acid metabolism-mediated metastasis and immunosuppression in male breast cancer, what percentage of ER+ MBC patients showed AR-negative status when evaluated by IHR?",(A) 69.9%|(B) 17.4%|(C) Insufficient information to answer the question|(D) 50.0%|(E) 5.3%|(F) 1%,E,C,https://doi.org/10.1038/s41467-023-41318-2,5.3%,1%|17.4%|69.9%|50.0%
"Based on whole genome bisulfite sequencing data (WGBS) from publicly available datasets (the ROADMAP epigenome project and the ENCODE data portal), what is the relationship between DNA methylation patterns between introns and exons (after excluding consideration of the first intron and first exon)?",(A) Exons have more DNA methylation|(B) only areas very close to the transcription start site|(C) Insufficient information to answer the question|(D) Introns have more DNA methylation|(E) There are no significant differences|(F) Neither introns nor exons can be methylated,E,C,https://doi.org/10.1093/nar/gkae252,There are no significant differences,Introns have more DNA methylation|Exons have more DNA methylation|Neither introns nor exons can be methylated|only areas very close to the transcription start site
Beta-amyrin synthase from which of the following plants produces in the highest yield of beta-amyrin from squalene?,(A) Artemisia annua|(B) Arabidopsis thaliana|(C) Saponaria vaccaria|(D) Glycyrrhiza glabra|(E) Insufficient information to answer the question,C,E,https://doi.org/10.1038/s41586-024-07345-9,Saponaria vaccaria,Artemisia annua|Arabidopsis thaliana|Glycyrrhiza glabra
Between postnatal ages P6 to P15 what is the increase in thalamocortical synapse density in the anterior cingulate cortex increase in wild-type mice?,(A) 7x|(B) 3x|(C) 5x|(D) 9x|(E) Insufficient information to answer the question,C,E,https://doi.org/10.1016/j.celrep.2022.111161,5x,3x|7x|9x
By what factor did T cells with a anti-CD19 synNotch -> sIL-2 receptor circut expand within a mouse tumor?,(A) 1000|(B) Insufficient information to answer the question|(C) 100|(D) 200|(E) 0,C,B,https://doi.org/10.1126/science.aba1624,100,0|200|1000
By what factor does MLH1dn expression increase editing efficiency of the PE2 editing system on average?,(A) 9.6x|(B) 2.0x|(C) Insufficient information to answer the question|(D) 4.2x|(E) 7.7x,E,C,https://doi.org/10.1016/j.cell.2021.09.018,7.7x,2.0x|4.2x|9.6x
Deleting which of following sets of residues from the protein Apollo has been shown to reduce the interaction between Apollo and DNA-PKcs in HEK293T cells?,(A) Insufficient information to answer the question|(B) residues 310-319|(C) residues 360-380|(D) residues 320-343|(E) residues 344–360,E,A,https://doi.org/10.1093/nar/gkae105,residues 344–360,residues 360-380|residues 320-343|residues 310-319
Deleting which set of amino acids from C. elegans protein COSA-1 would most likely affect the ability of COSA-1 to recruit MSH5 and ZHP3?,(A) aa 31-40|(B) aa 1-10|(C) aa 11-20|(D) Insufficient information to answer the question|(E) aa 21-30,A,D,https://doi.org/10.1093/nar/gkae130,aa 31-40,aa 1-10|aa 11-20|aa 21-30
Disruption of MTF1 expression in Chlamydomonas has what effect on the photosynthetic machinery?,(A) Upregulation of chloroplast-expressed proteins|(B) No effect|(C) Insufficient information to answer the question|(D) Depletion of photosynthetic machinery|(E) Upregulation of photosynthetic machinery,D,C,https://doi.org/10.1016/j.cell.2023.11.007,Depletion of photosynthetic machinery,Upregulation of photosynthetic machinery|Upregulation of chloroplast-expressed proteins|No effect
Do hair cells regenerate in wounds treated with verteporfin in mice models?,(A) No|(B) Yes|(C) Insufficient information to answer the question,B,C,https://doi.org/10.1016/j.stem.2021.12.011,Yes,No
Does metabolic glycan labeling immobilize dendritic cell membrane and enhance antitumor efficacy of dendritic cell vaccine?,(A) No|(B) Yes|(C) Insufficient information to answer the question,B,C,https://doi.org/10.1038/s41467-023-40886-7,Yes,No
Does targeting sgRNAs to coding strands or template strands in gene bodies lead to higher effect size on average across multiple CRISPRi screens?,(A) coding strand|(B) Insufficient information to answer the question|(C) template strand,A,B,https://doi.org/10.1038/s41592-024-02216-7,coding strand,template strand
"Does the protein encoded by TDRD1 have symmetrical or asymmetrical dimethylarginine modifications, or no dimethylarginine at all?",(A) No dimethylarginine|(B) Asymmetrical dimethylarginine modifications|(C) Insufficient information to answer the question|(D) Symmetrical dimethylarginine modifications,A,C,https://doi.org/10.1261/rna.034181.112,No dimethylarginine,Symmetrical dimethylarginine modifications|Asymmetrical dimethylarginine modifications
Engineering of which human skin bacteria can stimulate T-cells specific for non-native epitopes?,(A) Insufficient information to answer the question|(B) S. epidermis|(C) staphylococcus aureus|(D) cultibarium acnes,B,A,https://doi.org/10.1126/science.abp9563,S. epidermis,cultibarium acnes|staphylococcus aureus
Expression of human mu-opioid receptor (HsMOR) with an N-terminal yeast αPrePro sequence has what effect on yeast cell phenotype?,(A) Cell death|(B) Enlarged granular cells|(C) Depleted ER membranes|(D) Insufficient information to answer the question|(E) Diffuse localization of HsMOR-GFP,B,D,https://doi.org/10.1038/s41467-022-30570-7,Enlarged granular cells,Depleted ER membranes|Diffuse localization of HsMOR-GFP|Cell death
"For the channelrhodopsin found in Hyphochytrium catenoides (HcKCR1), the homology based structure predicted by ColabFold has a poor prediction for which one of the following transmembrane helices out of the 7 seven transmembrane helices in the structure ?",(A) TM6|(B) TM3|(C) TM7|(D) Insufficient information to answer the question|(E) TM1,B,D,https://doi.org/10.1038/s41467-023-40041-2,TM3,TM1|TM7|TM6
For which of the following genes does regulation occur in the coding sequence?,(A) petA|(B) gp02|(C) cyaA|(D) rpoS|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1016/j.chom.2024.03.010,gp02,rpoS|cyaA|petA
Formation of a mycobacterial repressor DarR dimer results in how much of the surface being buried from the solvent?,(A) 100 anstrom^2|(B) 13000 anstrom^2|(C) Insufficient information to answer the question|(D) 300 anstrom^2|(E) 1300 anstrom^2,E,C,https://doi.org/10.1038/s41467-023-42823-0,1300 anstrom^2,300 anstrom^2|100 anstrom^2|13000 anstrom^2
Grafting ECL3 region from adenosine A3 receptor A3AR onto A2AAR does what to the efficacy of binding to the A3AR antagonist CF101 ?,(A) increases|(B) Insufficient information to answer the question|(C) greatly decreases|(D) no change|(E) decreases,A,B,https://doi.org/10.1038/s41467-024-47207-6,increases,no change|decreases|greatly decreases
Has anyone assessed doing tagmentation of cDNA directly in the PCR mix without cleaning and quantifying the cDNA first?,(A) Yes|(B) Insufficient information to answer the question|(C) No,A,B,https://doi.org/10.1101/2021.07.10.451889,Yes,No
Has anyone performed a base editing screen against splice sites in CD33 before?,(A) Yes|(B) No|(C) Insufficient information to answer the question,A,C,https://doi.org/10.1016/j.cell.2023.03.035,Yes,No
How diffuse are the laminar patterns of the axonal terminations of lower Layer 5/Layer 6 intratelencephalic neurons compared to Layer 2-4 intratelencephalic neurons in mouse cortex?,(A) Insufficient information to answer the question|(B) Less diffuse|(C) About the same|(D) More diffuse,D,A,https://doi.org/10.1101/2023.02.18.528865,More diffuse,About the same|Less diffuse
How do microstimulations in the subgenual anterior cingulate cortex of monkeys in a prior experiment affect decision-making in later decision-making experiments?,(A) They maintain a positive bias|(B) They speed up decision making|(C) They introduce a late-onset negative bias|(D) They maintain a negative bias|(E) They have no effect on decision-making in later experiments|(F) They introduce a late-onset positive bias|(G) They slow decision making|(H) Insufficient information to answer the question,D,H,https://doi.org/10.1038/s41467-024-48375-1,They maintain a negative bias,They maintain a positive bias|They have no effect on decision-making in later experiments|They slow decision making|They speed up decision making|They introduce a late-onset negative bias|They introduce a late-onset positive bias
How do the human SNVs French 2 and Indian 2 affect the affinity of the transcription factor ETS-1 to DNA?,(A) decrease|(B) large increase|(C) no change|(D) subtle increase|(E) Insufficient information to answer the question,D,E,https://doi.org/10.1038/s41586-023-06922-8,subtle increase,large increase|no change|decrease
How does P. falciparum gene expression change with aging for male and female organisms?,(A) Gene expression decreases as P. falciparum ages for both males and females with aging.|(B) Insufficient information to answer the question|(C) Gene expression decreases for P. falciparum males and increases for females with aging.|(D) Gene expression increases for P. falciparum males and decreases for females with aging.|(E) Gene expression increases as P. falciparum ages for both males and females with aging.,A,B,https://doi.org/10.1126/science.adj4088,Gene expression decreases as P. falciparum ages for both males and females with aging.,Gene expression increases as P. falciparum ages for both males and females with aging.|Gene expression increases for P. falciparum males and decreases for females with aging.|Gene expression decreases for P. falciparum males and increases for females with aging.
How does knocking out DNA methyltransferase in neurons affect repeat-derived RNA expression?,(A) stays the same|(B) mild increase|(C) strong increase|(D) Insufficient information to answer the question|(E) strong decrease|(F) mild decrease,C,D,https://doi.org/10.1038/s41588-022-01241-6,strong increase,mild increase|stays the same|mild decrease|strong decrease
How does pexmetinib change the rate of threonine dephosphorylation by WIP1 phosphatase?,(A) Does not change the rate of dephosphorylation|(B) Increases dephosphorylation|(C) Decreases dephosphorylation|(D) Insufficient information to answer the question|(E) Pexmetinib does not affect WIP1 phosphatase activity,B,D,https://doi.org/10.1101/2024.05.15.594272,Increases dephosphorylation,Decreases dephosphorylation|Does not change the rate of dephosphorylation|Pexmetinib does not affect WIP1 phosphatase activity
How does the chromatin occupancy of rTetR-VP48 change when you inhibit the cofactor P300?,(A) increases|(B) decreases|(C) no change|(D) Insufficient information to answer the question,C,D,https://doi.org/10.1101/2024.02.02.578660,no change,increases|decreases
How is Bempegaldesleukin supposed to overcome Treg affinity for IL-2?,(A) Preferentially binding to b2b3 complex over b1b2b3 complex|(B) Tumor microenvironment targeting and checkpoint immune inhibition|(C) Overcome the Treg affinity for IL-2 by selectively depleting intratumoral Tregs|(D) Improve PK via PEGylation|(E) Insufficient information to answer the question,A,E,https://doi.org/10.1080/14712598.2019.1685489,Preferentially binding to b2b3 complex over b1b2b3 complex,Improve PK via PEGylation|Overcome the Treg affinity for IL-2 by selectively depleting intratumoral Tregs|Tumor microenvironment targeting and checkpoint immune inhibition
How large was the panel of fluoroquinone-resistant clinical E.coli samples that was used to evaluate the SNIPR001 phage therapy?,(A) 246|(B) 45|(C) 72|(D) Insufficient information to answer the question|(E) 115|(F) 12|(G) 169|(H) 382,C,D,https://doi.org/10.1038/s41587-023-01759-y,72,12|45|115|169|246|382
How long do mouse neurons survive following CRISPR inactivation of HSPA5?,(A) 5 days|(B) Insufficient information to answer the question|(C) 14 days|(D) 3 days|(E) 10 days|(F) 28 days,C,B,https://doi.org/10.1101/2023.06.13.544831,14 days,3 days|5 days|10 days|28 days
How many FMD cycles are the minimum required to cause a significant delay in the growth of melanoma tumors in mice?,(A) 12|(B) 30|(C) 2|(D) Insufficient information to answer the question|(E) 3,C,D,https://doi.org/10.1038/s41467-023-41066-3,2,3|12|30
How many Gly-X-Y repeats are in the collagenous domain of the diponectin paralog encoded by C1QTNF1 in mice?,(A) 34|(B) 24|(C) 14|(D) 4|(E) 2|(F) Insufficient information to answer the question|(G) 15,C,F,https://doi.org/10.1073/pnas.0403760101,14,2|4|15|24|34
How many clades of adenosine deaminases are there when grouped according to structure-based clustering?,(A) 3|(B) 4|(C) 2|(D) 1|(E) Insufficient information to answer the question|(F) 5,D,E,https://doi.org/10.1101/2023.05.21.541555|https://doi.org/10.1016/j.cell.2023.05.041,1,2|3|4|5
How many differential H3K27Ac peaks are there between queen and worker honeybees?,(A) 2165|(B) 1000|(C) 3601|(D) Insufficient information to answer the question|(E) 243,C,D,https://doi.org/10.1016/j.isci.2023.106308,3601,1000|2165|243
How many distinct sites contain TnG-repeat-like elements in the human genome ?,(A) 16418|(B) Insufficient information to answer the question|(C) 18164|(D) 5517|(E) 46574,C,B,https://doi.org/10.1038/s41586-023-06793-z,18164,5517|46574|16418
"How many genes show changes in 5mC methylation of their promoter regions in Alzheimer's patients at Braak stages V/VI, compared to control?",(A) 7852|(B) 1333|(C) 20352|(D) 19638|(E) 5765|(F) 7072|(G) Insufficient information to answer the question,E,G,https://doi.org/10.1101/2024.02.01.578450,5765,19638|7852|20352|7072|1333
How many phosphorylation sites see significant regulation in murine brown adipocytes when treated with forskolin?,(A) Insufficient information to answer the question|(B) 2535|(C) 7875|(D) 38451|(E) 1792|(F) 8613,C,A,https://doi.org/10.1038/s41586-022-05041-0,7875,8613|38451|2535|1792
How many putative G4-forming sequences are located within the human gene TMPRSS2?,(A) 72|(B) 24|(C) 80|(D) Insufficient information to answer the question|(E) 48|(F) 20|(G) 65|(H) 50|(I) 37,C,D,https://doi.org/10.1186/s12915-023-01805-w,80,20|24|48|72|50|37|65
"How much more sensitive to desiccation is a katE mutant strain of Acinetobacter baumanii, relative to wild-type?",(A) 5-fold|(B) Insufficient information to answer the question|(C) 50-fold|(D) 6-fold|(E) 4-fold|(F) 2-fold,A,B,https://doi.org/10.1128/jb.00479-21,5-fold,6-fold|4-fold|50-fold|2-fold
How much of the LIMK PDZ domain is identical in human LIMK1 and human LIMK2 ?,(A) 81|(B) 47|(C) 94|(D) 74|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1038/s41467-023-44148-4,47,81|94|74
"How much tighter, in kcal/mol, do the transcription factors Pho4 and Max bind to their DNA motifs when the motifs are surrounded by short tandem repeats?",(A) 1.1-1.2|(B) 0.1-0.15|(C) 0.8-1|(D) Insufficient information to answer the question|(E) 0.23-0.9,E,D,https://doi.org/10.1126/science.add1250,0.23-0.9,0.1-0.15|1.1-1.2|0.8-1
How similar is the full length Vibrio cholerae RfaH to E. coli RfaH transcription protein ?,(A) 43.6|(B) 52.1|(C) 45.6%|(D) Insufficient information to answer the question|(E) 35.8%,A,D,https://doi.org/10.7554/eLife.76630,43.6,52.1|35.8%|45.6%
"I am designing peptide-guided LNPs for delivery to the retina, and am using PEG-maleimide to attach peptides to the the surface of the LNP. What fraction of the total PEG replaced with PEG-Maleimide would show no transfection?",(A) Above 40%|(B) Insufficient information to answer the question|(C) Above 20%|(D) Above 10%|(E) Above 60%,A,B,https://doi.org/10.1126/sciadv.add4623,Above 40%,Above 10%|Above 20%|Above 60%
"I am using bleomycin to induce senescence in fibroblasts cultured. If I culture the cells on a 0.5 KPa surface, like soft acrylamide, how much bleomycin do I need to inhibit cell growth, compared to if I culture the cells on plastic?",(A) You need the same amount|(B) You need 10x less|(C) You need 100x less|(D) You need 100x more|(E) Insufficient information to answer the question|(F) You need 10x more,B,E,https://doi.org/10.1101/2024.02.06.579151,You need 10x less,You need 100x less|You need the same amount|You need 10x more|You need 100x more
"If implementing symmetric molecular dynamics as a holonomic constraint, how can Wyckoff sites be constrained?",(A) Bravais Lattice projection tensors|(B) Integrating the generalized coordinates|(C) Insufficient information to answer the question|(D) Symmetry restraints|(E) Wycoff sites can be constrained via the perturbation-variational expansion theorem|(F) Lagrange multiplier constraints,F,C,https://doi.org/10.1021/acs.jctc.2c00401,Lagrange multiplier constraints,Integrating the generalized coordinates|Bravais Lattice projection tensors|Symmetry restraints|Wycoff sites can be constrained via the perturbation-variational expansion theorem
"In 5XFAD mice, what effect does microglia-specific Ifnar1 deletion have on post-synaptic terminals?",(A) Insufficient information to answer the question|(B) attenuation of loss|(C) increased loss|(D) no effect|(E) increased synaptophysin+ density,B,A,https://doi.org/10.1016/j.immuni.2022.03.018,attenuation of loss,increased synaptophysin+ density|increased loss|no effect
"In 5XFAD mice, what effect does neural Ifnar1 deletion have on pre-synaptic terminals?",(A) no effect|(B) increased loss|(C) Insufficient information to answer the question|(D) restoration|(E) attenuation of loss,D,C,https://doi.org/10.1016/j.immuni.2022.03.018,restoration,attenuation of loss|increased loss|no effect
"In Arabidopsis, which of the following 20 S proteasome subunits has CWC15 not been shown to interact with in its role promoting degradation of the protein Serrate?",(A) PBA1|(B) PBE1|(C) PAG1|(D) PAB1|(E) Insufficient information to answer the question,B,E,https://doi.org/10.1038/s41467-024-46676-z,PBE1,PAB1|PAG1|PBA1
"In a short peptide obtained from the C-termini of a human protein sequence, presence of Serine at which one of the following positions in the sequence is predicted to favor degradation according to the degron index ?",(A) -1|(B) -7|(C) -5|(D) -3|(E) -2|(F) Insufficient information to answer the question|(G) -9,D,F,https://doi.org/10.1101/2023.08.22.554289,-3,-1|-2|-5|-7|-9
"In human development, what portion of the early embryo most often displays a clonal imbalance, being derived primarily from a single cell of the 2-cell blastomeres?",(A) Trophectoderm|(B) Yolk sack|(C) Inner cell mass|(D) Insufficient information to answer the question|(E) Placenta,C,D,https://doi.org/10.1016/j.cell.2024.04.029,Inner cell mass,Trophectoderm|Placenta|Yolk sack
"In human fibroblasts, how long should ERK activation be maintained such that senescence commitment is triggered even if ERK signaling is brought back to baseline levels at the end of the activation period?",(A) 1-2 days|(B) Insufficient information to answer the question|(C) 3-4 days|(D) 5-6 days|(E) 7-8 days,C,B,https://doi.org/10.1016/j.celrep.2024.114044,3-4 days,1-2 days|5-6 days|7-8 days
"In lung adenocarcinoma, which of the following cancer immune phenotypes is positively associated with STK11 mutation?",(A) CD8+/IGNF +|(B) Insufficient information to answer the question|(C) CD8-/IGNF -|(D) Fibroblast/TGFβ|(E) CD8- / IGNF+|(F) CD8+/IGNF -|(G) Eosinophils/endothelial,E,B,https://doi.org/10.1016/j.cell.2024.01.027,CD8- / IGNF+,CD8-/IGNF -|CD8+/IGNF -|CD8+/IGNF +|Eosinophils/endothelial|Fibroblast/TGFβ
"In mice with a homozygous knock-in MIRAS allele of mitochondrial DNA polymerase gamma, what decrease in rotarod performance is observed at 12 months of age?",(A) 30%|(B) Insufficient information to answer the question|(C) 15%|(D) 40%|(E) 25%|(F) 10%|(G) 20%,A,B,https://doi.org/10.1038/s41586-024-07260-z,30%,10%|15%|20%|25%|40%
"In pre-commitment myeloid progenitor cells, for how many hours can estrogen be withdrawn before the cells can no longer return to their progenitor state?",(A) 40 hours|(B) Insufficient information to answer the question|(C) 24 hours|(D) 96 hours|(E) 72 hours,E,B,https://doi.org/10.1016/j.celrep.2021.109967|https://doi.org/10.1101/2021.05.12.443709,72 hours,24 hours|40 hours|96 hours
